1.100,3.348
1.200,3.419
1.300,3.489
1.400,3.557
1.500,3.621
1.600,3.684
1.700,3.745
1.800,3.804
1.900,3.861
2.000,3.915
2.100,3.968
2.200,4.041
2.300,4.071
2.400,4.151
2.500,4.197
2.600,4.242
2.700,4.286
2.800,4.330
2.900,4.373
3.000,4.415
3.100,4.456
3.200,4.497
3.300,4.538
3.400,4.578
3.500,4.618
3.600,4.666
3.700,4.704
3.800,4.742
3.900,4.780
4.000,4.817
4.100,4.854
4.200,4.890
4.300,4.925
4.400,4.961
4.500,4.999
4.600,5.032
4.700,5.080
4.800,5.112
4.900,5.143
5.000,5.174
5.100,5.207
5.200,5.241
5.300,5.277
5.400,5.311
5.500,5.345
5.600,5.378
5.700,5.418
5.800,5.451
5.900,5.483
6.000,5.516
6.100,5.563
6.200,5.595
6.300,5.626
6.400,5.658
6.500,5.689
6.600,5.720
6.700,5.754
6.800,5.785
6.900,5.853
7.000,5.882
7.100,5.911
7.200,5.945
7.300,5.973
7.400,6.001
7.500,6.029
7.600,6.070
7.700,6.098
7.800,6.126
7.900,6.153
8.000,6.180
8.100,6.207
8.200,6.237
8.300,6.264
8.400,6.292
8.500,6.319
8.600,6.346
8.700,6.373
8.800,6.406
8.900,6.432
9.000,6.458
9.100,6.518
9.200,6.543
9.300,6.567
9.400,6.591
9.500,6.615
9.600,6.639
9.700,6.663
9.800,6.689
9.900,6.712
10.000,6.735
10.100,6.759
10.200,6.782
10.300,6.805
10.400,6.828
10.500,6.886
10.600,6.907
10.700,6.928
10.800,6.950
10.900,6.980
11.000,7.015
11.100,7.035
11.200,7.055
11.300,7.077
11.400,7.099
11.500,7.123
11.600,7.186
11.700,7.207
11.800,7.227
11.900,7.248
12.000,7.268
12.100,7.292
12.200,7.313
12.300,7.333
12.400,7.354
12.500,7.381
12.600,7.400
12.700,7.420
12.800,7.440
12.900,7.470
13.000,7.506
13.100,7.526
13.200,7.545
13.300,7.563
13.400,7.582
13.500,7.603
13.600,7.623
13.700,7.685
13.800,7.705
13.900,7.724
14.000,7.744
14.100,7.765
14.200,7.786
14.300,7.806
14.400,7.831
14.500,7.851
14.600,7.871
14.700,7.893
14.800,7.920
14.900,7.940
15.000,7.960
15.100,7.991
15.200,8.028
15.300,8.047
15.400,8.068
15.500,8.087
15.600,8.106
15.700,8.125
15.800,8.145
15.900,8.164
16.000,8.187
16.100,8.206
16.200,8.224
16.300,8.243
16.400,8.264
16.500,8.283
16.600,8.308
16.700,8.327
16.800,8.346
16.900,8.394
17.000,8.412
17.100,8.430
17.200,8.458
17.300,8.477
17.400,8.495
17.500,8.513
17.600,8.558
17.700,8.575
17.800,8.595
17.900,8.612
18.000,8.629
18.100,8.647
18.200,8.665
18.300,8.683
18.400,8.700
18.500,8.721
18.600,8.738
18.700,8.755
18.800,8.773
18.900,8.790
19.000,8.807
19.100,8.830
19.200,8.846
19.300,8.863
19.400,8.880
19.500,8.896
19.600,8.915
19.700,8.938
19.800,8.955
19.900,8.972
20.000,9.021
20.100,9.053
20.200,9.055
20.300,9.088
20.400,9.104
20.500,9.120
20.600,9.137
20.700,9.153
20.800,9.169
20.900,9.190
21.000,9.206
21.100,9.222
21.200,9.238
21.300,9.255
21.400,9.271
21.500,9.294
21.600,9.311
21.700,9.327
21.800,9.372
21.900,9.388
22.000,9.403
22.100,9.428
22.200,9.443
22.300,9.459
22.400,9.475
22.500,9.500
22.600,9.515
22.700,9.534
22.800,9.561
22.900,9.576
23.000,9.607
23.100,9.621
23.200,9.636
23.300,9.651
23.400,9.666
23.500,9.685
23.600,9.699
23.700,9.714
23.800,9.728
23.900,9.745
24.000,9.759
24.100,9.774
24.200,9.794
24.300,9.808
24.400,9.823
24.500,9.838
24.600,9.853
24.700,9.870
24.800,9.890
24.900,9.905
25.000,9.920
25.100,9.942
25.200,9.957
25.300,9.971
25.400,9.989
25.500,10.003
25.600,10.017
25.700,10.061
25.800,10.075
25.900,10.088
26.000,10.118
26.100,10.131
26.200,10.145
26.300,10.158
26.400,10.172
26.500,10.185
26.600,10.200
26.700,10.215
26.800,10.232
26.900,10.246
27.000,10.259
27.100,10.273
27.200,10.289
27.300,10.302
